app,review,rating,date,clean,processed,feature_request,complaint_type,sentiment_score,sentiment
Instagram,good platform,5,2026-04-29 16:27:11,good platform,good platform,False,Other,0.7,Positive
Instagram,sexx me and my mom 😋🥰😘😍😭 😘🥰😍🤩😋🤤🤪😜😝👅😛🤙👍⚱️🥰😘😜😘😘😋🤤,5,2026-04-29 16:26:36,sexx me and my mom  ,sexx mom  ,False,Other,0.0,Neutral
Instagram,A very nice and easy-to-use app; I recommend it.,5,2026-04-29 16:25:53,a very nice and easytouse app i recommend it,nice easytouse app recommend,False,Other,0.78,Positive
Instagram,not open back aap problem,5,2026-04-29 16:25:44,not open back aap problem,open aap problem,False,Other,0.0,Neutral
Instagram,urr__firdous Instagram I'd Open karo,5,2026-04-29 16:25:42,urrfirdous instagram id open karo,urrfirdous instagram d open karo,False,Other,0.0,Neutral
Instagram,bbbñb ɓkonjibk 78k,2,2026-04-29 16:25:28,bbbb konjibk k,bbbb konjibk k,False,Other,0.0,Neutral
Instagram,i love insta,5,2026-04-29 16:25:27,i love insta,love insta,False,Other,0.5,Positive
Instagram,distraction,1,2026-04-29 16:24:29,distraction,distraction,False,Other,0.0,Neutral
Instagram,great experience,5,2026-04-29 16:24:14,great experience,great experience,False,Other,0.8,Positive
Instagram,"“Dear Instagram Team, my account (@sourabh_kasan) has been deactivated. I believe this is a mistake as I have always followed all community guidelines and terms of service. I request you to please review my account and reactivate it as soon as possible. Thank you for your time and assistance.”",5,2026-04-29 16:23:54,dear instagram team my account sourabhkasan has been deactivated i believe this is a mistake as i have always followed all community guidelines and terms of service i request you to please review my account and reactivate it as soon as possible thank you for your time and assistance,dear instagram team account sourabhkasan deactivate believe mistake follow community guideline term service request review account reactivate soon possible thank time assistance,False,UI/UX,0.0,Neutral
Instagram,pooooo,5,2026-04-29 16:23:37,pooooo,pooooo,False,Other,0.0,Neutral
Instagram,innocent_deepak0786 login my account,2,2026-04-29 16:22:09,innocentdeepak login my account,innocentdeepak login account,False,Network,0.0,Neutral
Instagram,are bhai Instagram ID kyon band ho raha hai,5,2026-04-29 16:21:31,are bhai instagram id kyon band ho raha hai,bhai instagram d kyon band ho raha hai,False,Other,0.0,Neutral
Instagram,nice,5,2026-04-29 16:21:27,nice,nice,False,Other,0.6,Positive
Instagram,"hope you are doing well. My account (dpkv_.t) has been suspended, and I believe this may have been done by mistake. I respect and follow Instagram's Community Guidelines and have never intentionally violated any rules. If any of my content or activity unintentionally went against the policies, I sincerely apologize for that. It was not my intention to misuse the platform in any way. This account is very important to me, and I use it for genuine purposes. I kindly request you to review my acco",5,2026-04-29 16:21:19,hope you are doing well my account dpkvt has been suspended and i believe this may have been done by mistake i respect and follow instagrams community guidelines and have never intentionally violated any rules if any of my content or activity unintentionally went against the policies i sincerely apologize for that it was not my intention to misuse the platform in any way this account is very important to me and i use it for genuine purposes i kindly request you to review my acco,hope account dpkvt suspend believe mistake respect follow instagram community guideline intentionally violate rule content activity unintentionally go policy sincerely apologize intention misuse platform way account important use genuine purpose kindly request review acco,False,UI/UX,0.505,Positive
Instagram,bhaduaa,4,2026-04-29 16:20:59,bhaduaa,bhaduaa,False,Other,0.0,Neutral
Instagram,superb,5,2026-04-29 16:20:46,superb,superb,False,Other,1.0,Positive
Instagram,nice performance 👏 👌,5,2026-04-29 16:20:43,nice performance  ,nice performance  ,False,Other,0.6,Positive
Instagram,"ok, I am new I will tell you later when i use it enough",3,2026-04-29 16:20:30,ok i am new i will tell you later when i use it enough,ok new tell later use,False,Other,0.1590909090909091,Positive
Instagram,good app build for change entertainment enjoy,5,2026-04-29 16:20:00,good app build for change entertainment enjoy,good app build change entertainment enjoy,False,UI/UX,0.55,Positive
Instagram,nice,5,2026-04-29 16:19:54,nice,nice,False,Other,0.6,Positive
Instagram,Supper great,5,2026-04-29 16:19:35,supper great,supper great,False,Other,0.8,Positive
Instagram,guume,5,2026-04-29 16:19:32,guume,guume,False,Other,0.0,Neutral
Instagram,my id check block ID is recover please,5,2026-04-29 16:19:31,my id check block id is recover please,d check block d recover,False,Other,0.0,Neutral
Instagram,best app i have ever used,4,2026-04-29 16:19:24,best app i have ever used,good app,False,Other,1.0,Positive
Instagram,this is amazing 😍,5,2026-04-29 16:19:13,this is amazing ,amazing,False,Other,0.6000000000000001,Positive
Instagram,they not work properlyyy please solve this issues as soon as possible,1,2026-04-29 16:18:53,they not work properlyyy please solve this issues as soon as possible,work properlyyy solve issue soon possible,False,Other,0.0,Neutral
Instagram,app network problum very but all of good pleas solution,4,2026-04-29 16:17:56,app network problum very but all of good pleas solution,app network problum good plea solution,False,Network,0.44999999999999996,Positive
